US_140EVT,CLASSNAME,EVT_FUEL_N,EVT_LF,EVT_PHYS,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS
3016,Colorado Plateau Pinyon-Juniper Woodland,Tr Colorado Plateau Pinyon-Juniper Woodland,Tree,Conifer,Pinyon-Juniper Woodland,SRM 504: Juniper-Pinyon Pine Woodland,Tree-dominated,Open tree canopy,Evergreen open tree canopy
3017,Columbia Plateau Western Juniper Woodland and Savanna,Tr Columbia Plateau Western Juniper Woodland and Savanna,Tree,Conifer,Juniper Woodland and Savanna,SRM 107: Western Juniper-Big Sagebrush-Bluebunch Wheatgrass,Tree-dominated,Open tree canopy,Evergreen open tree canopy
3018,East Cascades Mesic Montane Mixed-Conifer Forest and Woodland,Tr East Cascades Mesic Montane Mixed-Conifer Forest and Woodland,Tree,Conifer,Douglas-fir-Grand Fir-White Fir Forest and Woodland,SAF 213: Grand Fir,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy
3019,Great Basin Pinyon-Juniper Woodland,Tr Great Basin Pinyon-Juniper Woodland,Tree,Conifer,Pinyon-Juniper Woodland,SRM 412: Juniper-Pinyon Woodland,Tree-dominated,Open tree canopy,Evergreen open tree canopy
3020,Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland,Tr Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland,Tree,Conifer,Limber Pine Woodland,SAF 209: Bristlecone Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy
3021,Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland,Tr Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland,Tree,Conifer,Western Red-cedar-Western Hemlock Forest,SAF 231: Port Orford-Cedar,Tree-dominated,Open tree canopy,Evergreen open tree canopy
3022,Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland,Tr Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland,Tree,Conifer,Western Red-cedar-Western Hemlock Forest,SAF 248: Knobcone Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy
3023,Madrean Encinal,Tr Madrean Encinal,Tree,Conifer-Hardwood,Juniper-Oak,SAF 241: Western Live Oak,Tree-dominated,Open tree canopy,Evergreen open tree canopy
3024,Madrean Lower Montane Pine-Oak Forest and Woodland,Tr Madrean Lower Montane Pine-Oak Forest and Woodland,Tree,Conifer-Hardwood,Conifer-Oak Forest and Woodland,SAF 241: Western Live Oak,Tree-dominated,Open tree canopy,Evergreen open tree canopy
3025,Madrean Pinyon-Juniper Woodland,Tr Madrean Pinyon-Juniper Woodland,Tree,Conifer,Pinyon-Juniper Woodland,SRM 504: Juniper-Pinyon Pine Woodland,Tree-dominated,Open tree canopy,Evergreen open tree canopy
3026,Madrean Upper Montane Conifer-Oak Forest and Woodland,Tr Madrean Upper Montane Conifer-Oak Forest and Woodland,Tree,Conifer-Hardwood,Conifer-Oak Forest and Woodland,SAF 241: Western Live Oak,Tree-dominated,Open tree canopy,Evergreen open tree canopy
3027,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Tr Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Tree,Conifer,Douglas-fir-Ponderosa Pine-Lodgepole Pine Forest and Woodland,SAF 243: Sierra Nevada Mixed Conifer,Tree-dominated,Open tree canopy,Evergreen open tree canopy
3028,Mediterranean California Mesic Mixed Conifer Forest and Woodland,Tr Mediterranean California Mesic Mixed Conifer Forest and Woodland,Tree,Conifer,Douglas-fir-Grand Fir-White Fir Forest and Woodland,SAF 211: White Fir,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy
3029,Mediterranean California Mixed Oak Woodland,Tr Mediterranean California Mixed Oak Woodland,Tree,Hardwood,Western Oak Woodland and Savanna,SAF 246: California Black Oak,Tree-dominated,Open tree canopy,Evergreen open tree canopy
3030,Mediterranean California Lower Montane Conifer Forest and Woodland,Tr Mediterranean California Lower Montane Conifer Forest and Woodland,Tree,Conifer,Conifer-Oak Forest and Woodland,SAF 246: California Black Oak,Tree-dominated,Open tree canopy,Evergreen open tree canopy
3031,California Montane Jeffrey Pine(-Ponderosa Pine) Woodland,Tr California Montane Jeffrey Pine(-Ponderosa Pine) Woodland,Tree,Conifer,"Ponderosa Pine Forest, Woodland and Savanna",SAF 247: Jeffrey Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy
3032,Mediterranean California Red Fir Forest,Tr Mediterranean California Red Fir Forest,Tree,Conifer,Red Fir Forest and Woodland,SAF 207: Red Fir,Tree-dominated,Open tree canopy,Evergreen open tree canopy
3033,Mediterranean California Subalpine Woodland,Tr Mediterranean California Subalpine Woodland,Tree,Conifer,Subalpine Woodland and Parkland,SAF 256: California Mixed Subalpine,Tree-dominated,Open tree canopy,Evergreen open tree canopy
3034,Mediterranean California Mesic Serpentine Woodland and Chaparral,Tr Mediterranean California Mesic Serpentine Woodland and Chaparral,Tree,Conifer,Chaparral,SAF 248: Knobcone Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy
3035,North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland,Tr North Pacific Dry Douglas-fir(-Madrone) Forest and Woodland,Tree,Conifer,Douglas-fir Forest and Woodland,SAF 229: Pacific Douglas-Fir,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy
3036,North Pacific Hypermaritime Seasonal Sitka Spruce Forest,Tr North Pacific Hypermaritime Seasonal Sitka Spruce Forest,Tree,Conifer,Sitka Spruce Forest,SAF 223: Sitka Spruce,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy
3037,North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,Tr North Pacific Maritime Dry-Mesic Douglas-fir-Western Hemlock Forest,Tree,Conifer,Douglas-fir-Western Hemlock Forest and Woodland,SAF 230: Douglas-Fir-Western Hemlock,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy
3038,North Pacific Maritime Mesic Subalpine Parkland,Tr North Pacific Maritime Mesic Subalpine Parkland,Tree,Conifer,Mountain Hemlock Forest and Woodland,SAF 205: Mountain Hemlock,Tree-dominated,Open tree canopy,Evergreen open tree canopy
3039,North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,Tr North Pacific Maritime Mesic-Wet Douglas-fir-Western Hemlock Forest,Tree,Conifer,Douglas-fir-Western Hemlock Forest and Woodland,SAF 230: Douglas-Fir-Western Hemlock,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy
3041,North Pacific Mountain Hemlock Forest,Tr North Pacific Mountain Hemlock Forest,Tree,Conifer,Mountain Hemlock Forest and Woodland,SAF 205: Mountain Hemlock,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy
3042,North Pacific Mesic Western Hemlock-Silver Fir Forest,Tr North Pacific Mesic Western Hemlock-Silver Fir Forest,Tree,Conifer,Western Hemlock-Silver Fir Forest,SAF 226: Coastal True Fir-Hemlock,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy
3043,Mediterranean California Mixed Evergreen Forest,Tr Mediterranean California Mixed Evergreen Forest,Tree,Conifer,California Mixed Evergreen Forest and Woodland,SAF 234: Douglas-Fir-Tanoak-Pacific Madrone,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy
3044,Northern California Mesic Subalpine Woodland,Tr Northern California Mesic Subalpine Woodland,Tree,Conifer,Mountain Hemlock Forest and Woodland,SAF 205: Mountain Hemlock,Tree-dominated,Open tree canopy,Evergreen open tree canopy
3045,Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,Tr Northern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest,Tree,Conifer,Douglas-fir-Ponderosa Pine-Lodgepole Pine Forest and Woodland,SAF 210: Interior Douglas-Fir,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy
3046,Northern Rocky Mountain Subalpine Woodland and Parkland,Tr Northern Rocky Mountain Subalpine Woodland and Parkland,Tree,Conifer,Subalpine Woodland and Parkland,SAF 208: Whitebark Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy
3047,Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,Tr Northern Rocky Mountain Mesic Montane Mixed Conifer Forest,Tree,Conifer,Douglas-fir-Grand Fir-White Fir Forest and Woodland,SAF 213: Grand Fir,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy
3048,Northwestern Great Plains Highland White Spruce Woodland,Tr Northwestern Great Plains Highland White Spruce Woodland,Tree,Conifer,Spruce-Fir Forest and Woodland,SAF 201: White Spruce,Tree-dominated,Open tree canopy,Evergreen open tree canopy
3049,Rocky Mountain Foothill Limber Pine-Juniper Woodland,Tr Rocky Mountain Foothill Limber Pine-Juniper Woodland,Tree,Conifer,Limber Pine Woodland,SAF 219: Limber Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy
3050,Rocky Mountain Lodgepole Pine Forest,Tr Rocky Mountain Lodgepole Pine Forest,Tree,Conifer,Lodgepole Pine Forest and Woodland,SAF 218: Lodgepole Pine,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy
3051,Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,Tr Southern Rocky Mountain Dry-Mesic Montane Mixed Conifer Forest and Woodland,Tree,Conifer,Douglas-fir-Ponderosa Pine-Lodgepole Pine Forest and Woodland,SAF 210: Interior Douglas-Fir,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy
3052,Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,Tr Southern Rocky Mountain Mesic Montane Mixed Conifer Forest and Woodland,Tree,Conifer,Douglas-fir-Grand Fir-White Fir Forest and Woodland,SAF 211: White Fir,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy
3053,Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,Tr Northern Rocky Mountain Ponderosa Pine Woodland and Savanna,Tree,Conifer,"Ponderosa Pine Forest, Woodland and Savanna",SAF 237: Interior Ponderosa Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy
3054,Southern Rocky Mountain Ponderosa Pine Woodland,Tr Southern Rocky Mountain Ponderosa Pine Woodland,Tree,Conifer,"Ponderosa Pine Forest, Woodland and Savanna",SAF 237: Interior Ponderosa Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy
3055,Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Tr Rocky Mountain Subalpine Dry-Mesic Spruce-Fir Forest and Woodland,Tree,Conifer,Spruce-Fir Forest and Woodland,SAF 206: Engelmann Spruce-Subalpine Fir,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy
3056,Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Tr Rocky Mountain Subalpine Mesic-Wet Spruce-Fir Forest and Woodland,Tree,Conifer,Spruce-Fir Forest and Woodland,SAF 206: Engelmann Spruce-Subalpine Fir,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy
3057,Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland,Tr Rocky Mountain Subalpine-Montane Limber-Bristlecone Pine Woodland,Tree,Conifer,Limber Pine Woodland,SAF 209: Bristlecone Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy
3058,Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland,Tr Sierra Nevada Subalpine Lodgepole Pine Forest and Woodland,Tree,Conifer,Lodgepole Pine Forest and Woodland,SAF 218: Lodgepole Pine,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy
3059,Southern Rocky Mountain Pinyon-Juniper Woodland,Tr Southern Rocky Mountain Pinyon-Juniper Woodland,Tree,Conifer,Pinyon-Juniper Woodland,SRM 504: Juniper-Pinyon Pine Woodland,Tree-dominated,Open tree canopy,Evergreen open tree canopy
3060,East Cascades Ponderosa Pine Forest and Woodland,Tr East Cascades Ponderosa Pine Forest and Woodland,Tree,Conifer,Conifer-Oak Forest and Woodland,SAF 237: Interior Ponderosa Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy
3061,Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,Tr Inter-Mountain Basins Aspen-Mixed Conifer Forest and Woodland,Tree,Conifer-Hardwood,Aspen-Mixed Conifer Forest and Woodland,SAF 217: Aspen,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy
3062,Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland,Tr Inter-Mountain Basins Curl-leaf Mountain Mahogany Woodland and Shrubland,Tree,Conifer,Mountain Mahogany Woodland and Shrubland,SRM 415: Curlleaf Mountain-Mahogany,Tree-dominated,Open tree canopy,Mixed evergreen-deciduous open tree canopy
3063,North Pacific Broadleaf Landslide Forest and Shrubland,Tr North Pacific Broadleaf Landslide Forest and Shrubland,Tree,Hardwood,Red Alder Forest and Woodland,SAF 221: Red Alder,Tree-dominated,Closed tree canopy,Mixed evergreen-deciduous closed tree canopy
3064,Colorado Plateau Mixed Low Sagebrush Shrubland,Sh Colorado Plateau Mixed Low Sagebrush Shrubland,Shrub,Shrubland,Low Sagebrush Shrubland and Steppe,SRM 405: Black Sagebrush,Shrub-dominated,Dwarf-shrubland,Evergreen dwarf-shrubland
3065,Columbia Plateau Scabland Shrubland,Sh Columbia Plateau Scabland Shrubland,Shrub,Shrubland,Desert Scrub,SRM 106: Bluegrass Scabland,Shrub-dominated,Dwarf-shrubland,Evergreen dwarf-shrubland
3066,Inter-Mountain Basins Mat Saltbush Shrubland,Sh Inter-Mountain Basins Mat Saltbush Shrubland,Shrub,Shrubland,Salt Desert Scrub,SRM 501: Saltbush-Greasewood,Shrub-dominated,Dwarf-shrubland,Evergreen dwarf-shrubland
3067,Mediterranean California Alpine Fell-Field,Sh Mediterranean California Alpine Fell-Field,Shrub,Grassland,"Alpine Dwarf-Shrubland, Fell-field and Meadow",SRM 213: Alpine Grassland,Shrub-dominated,Dwarf-shrubland,Mixed evergreen-deciduous dwarf-shrubland
3068,North Pacific Dry and Mesic Alpine Dwarf-Shrubland or Fell-field or Meadow,Sh North Pacific Dry and Mesic Alpine Dwarf-Shrubland or Fell-field or Meadow,Shrub,Grassland,"Alpine Dwarf-Shrubland, Fell-field and Meadow",SRM 108: Alpine Idaho Fescue,Shrub-dominated,Dwarf-shrubland,Mixed evergreen-deciduous dwarf-shrubland
3070,Rocky Mountain Alpine Dwarf-Shrubland,Sh Rocky Mountain Alpine Dwarf-Shrubland,Shrub,Grassland,"Alpine Dwarf-Shrubland, Fell-field and Meadow",SRM 410: Alpine Rangeland,Shrub-dominated,Dwarf-shrubland,Evergreen dwarf-shrubland
3071,Sierra Nevada Alpine Dwarf-Shrubland,Sh Sierra Nevada Alpine Dwarf-Shrubland,Shrub,Grassland,"Alpine Dwarf-Shrubland, Fell-field and Meadow",SRM 213: Alpine Grassland,Shrub-dominated,Dwarf-shrubland,Evergreen dwarf-shrubland
3072,Wyoming Basins Dwarf Sagebrush Shrubland and Steppe,Sh Wyoming Basins Dwarf Sagebrush Shrubland and Steppe,Shrub,Shrubland,Low Sagebrush Shrubland and Steppe,SRM 405: Black Sagebrush,Shrub-dominated,Dwarf-shrubland,Evergreen dwarf-shrubland
3074,Chihuahuan Creosotebush Desert Scrub,Sh Chihuahuan Creosotebush Desert Scrub,Shrub,Shrubland,Creosotebush Desert Scrub,SRM 506: Creosotebush-Bursage,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland
3075,Chihuahuan Mixed Salt Desert Scrub,Sh Chihuahuan Mixed Salt Desert Scrub,Shrub,Shrubland,Salt Desert Scrub,SRM 414: Salt Desert Shrub,Shrub-dominated,Shrubland,Evergreen shrubland
3076,Chihuahuan Stabilized Coppice Dune and Sand Flat Scrub,Sh Chihuahuan Stabilized Coppice Dune and Sand Flat Scrub,Shrub,Shrubland,Desert Scrub,SRM 729: Mesquite,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland
3077,Chihuahuan Succulent Desert Scrub,Sh Chihuahuan Succulent Desert Scrub,Shrub,Shrubland,Succulent Desert Scrub,SRM 735: Sideoats Grama-Sumac-Juniper,Shrub-dominated,Shrubland,Evergreen shrubland
3078,Colorado Plateau Blackbrush-Mormon-tea Shrubland,Sh Colorado Plateau Blackbrush-Mormon-tea Shrubland,Shrub,Shrubland,Blackbrush Shrubland,SRM 212: Blackbush,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland
3079,Great Basin Xeric Mixed Sagebrush Shrubland,Sh Great Basin Xeric Mixed Sagebrush Shrubland,Shrub,Shrubland,Low Sagebrush Shrubland and Steppe,SRM 406: Low Sagebrush,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland
3080,Inter-Mountain Basins Big Sagebrush Shrubland,Sh Inter-Mountain Basins Big Sagebrush Shrubland,Shrub,Shrubland,Big Sagebrush Shrubland and Steppe,SRM 403: Wyoming Big Sagebrush,Shrub-dominated,Shrubland,Evergreen shrubland
3081,Inter-Mountain Basins Mixed Salt Desert Scrub,Sh Inter-Mountain Basins Mixed Salt Desert Scrub,Shrub,Shrubland,Salt Desert Scrub,SRM 414: Salt Desert Shrub,Shrub-dominated,Shrubland,Evergreen shrubland
3082,Mojave Mid-Elevation Mixed Desert Scrub,Sh Mojave Mid-Elevation Mixed Desert Scrub,Shrub,Shrubland,Desert Scrub,SRM 212: Blackbush,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland
3083,North Pacific Avalanche Chute Shrubland,Sh North Pacific Avalanche Chute Shrubland,Shrub,Shrubland,Deciduous Shrubland,LF 41: Deciduous Shrubland,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland
3084,North Pacific Montane Shrubland,Sh North Pacific Montane Shrubland,Shrub,Shrubland,Deciduous Shrubland,LF 41: Deciduous Shrubland,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland
3085,Northwestern Great Plains Shrubland,Sh Northwestern Great Plains Shrubland,Shrub,Shrubland,Big Sagebrush Shrubland and Steppe,SRM 612: Sagebrush-Grass,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland
3086,Rocky Mountain Lower Montane-Foothill Shrubland,Sh Rocky Mountain Lower Montane-Foothill Shrubland,Shrub,Shrubland,Deciduous Shrubland,SRM 421: Chokecherry-Serviceberry-Rose,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland
3087,Sonora-Mojave Creosotebush-White Bursage Desert Scrub,Sh Sonora-Mojave Creosotebush-White Bursage Desert Scrub,Shrub,Shrubland,Creosotebush Desert Scrub,SRM 506: Creosotebush-Bursage,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland
3088,Sonora-Mojave Mixed Salt Desert Scrub,Sh Sonora-Mojave Mixed Salt Desert Scrub,Shrub,Shrubland,Salt Desert Scrub,SRM 414: Salt Desert Shrub,Shrub-dominated,Shrubland,Evergreen shrubland
3090,Sonoran Granite Outcrop Desert Scrub,Sh Sonoran Granite Outcrop Desert Scrub,Shrub,Shrubland,Desert Scrub,SRM 506: Creosotebush-Bursage,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland
3091,Sonoran Mid-Elevation Desert Scrub,Sh Sonoran Mid-Elevation Desert Scrub,Shrub,Shrubland,Desert Scrub,SRM 506: Creosotebush-Bursage,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland
3092,Southern California Coastal Scrub,Sh Southern California Coastal Scrub,Shrub,Shrubland,Pacific Coastal Scrub,SRM 205: Coastal Sage Shrub,Shrub-dominated,Shrubland,Evergreen shrubland
3093,Southern Colorado Plateau Sand Shrubland,Sh Southern Colorado Plateau Sand Shrubland,Shrub,Shrubland,Sand Shrubland,SRM 605: Sandsage Prairie,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland
3094,Western Great Plains Sandhill Shrubland,Sh Western Great Plains Sandhill Steppe,Shrub,Shrubland,Sand Shrubland,SRM 605: Sandsage Prairie,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland
3095,Apacherian-Chihuahuan Mesquite Upland Scrub,Sh Apacherian-Chihuahuan Mesquite Upland Scrub,Shrub,Shrubland,Mesquite Woodland and Scrub,SRM 729: Mesquite,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland
3096,California Maritime Chaparral,Sh California Maritime Chaparral,Shrub,Shrubland,Chaparral,SRM 208: Ceanothus Mixed Chaparral,Shrub-dominated,Shrubland,Evergreen shrubland
3097,California Mesic Chaparral,Sh California Mesic Chaparral,Shrub,Shrubland,Chaparral,SRM 207: Scrub Oak Mixed Chaparral,Shrub-dominated,Shrubland,Evergreen shrubland
3098,California Montane Woodland and Chaparral,Sh California Montane Woodland and Chaparral,Shrub,Shrubland,Chaparral,SRM 209: Montane Shrubland,Shrub-dominated,Shrubland,Evergreen shrubland
3099,California Xeric Serpentine Chaparral,Sh California Xeric Serpentine Chaparral,Shrub,Shrubland,Chaparral,SRM 209: Montane Shrubland,Shrub-dominated,Shrubland,Evergreen shrubland
3100,Chihuahuan Mixed Desert and Thornscrub,Sh Chihuahuan Mixed Desert and Thornscrub,Shrub,Shrubland,Desert Scrub,SRM 508: Creosotebush-Tarbush,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland
3101,Madrean Oriental Chaparral,Sh Madrean Oriental Chaparral,Shrub,Shrubland,Chaparral,SRM 735: Sideoats Grama-Sumac-Juniper,Shrub-dominated,Shrubland,Evergreen shrubland
3103,Great Basin Semi-Desert Chaparral,Sh Great Basin Semi-Desert Chaparral,Shrub,Shrubland,Chaparral,SRM 503: Arizona Chaparral,Shrub-dominated,Shrubland,Evergreen shrubland
3104,Mogollon Chaparral,Sh Mogollon Chaparral,Shrub,Shrubland,Chaparral,SRM 503: Arizona Chaparral,Shrub-dominated,Shrubland,Evergreen shrubland
3105,Northern and Central California Dry-Mesic Chaparral,Sh Northern and Central California Dry-Mesic Chaparral,Shrub,Shrubland,Chaparral,SRM 206: Chamise Chaparral,Shrub-dominated,Shrubland,Evergreen shrubland
3106,Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,Sh Northern Rocky Mountain Montane-Foothill Deciduous Shrubland,Shrub,Shrubland,Deciduous Shrubland,SRM 421: Chokecherry-Serviceberry-Rose,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland
3107,Rocky Mountain Gambel Oak-Mixed Montane Shrubland,Sh Rocky Mountain Gambel Oak-Mixed Montane Shrubland,Shrub,Shrubland,Deciduous Shrubland,SRM 413: Gambel oak,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland
3108,Sonora-Mojave Semi-Desert Chaparral,Sh Sonora-Mojave Semi-Desert Chaparral,Shrub,Shrubland,Chaparral,SRM 503: Arizona Chaparral,Shrub-dominated,Shrubland,Evergreen shrubland
3109,Sonoran Paloverde-Mixed Cacti Desert Scrub,Sh Sonoran Paloverde-Mixed Cacti Desert Scrub,Shrub,Shrubland,Desert Scrub,SRM 507: Palo Verde-Cactus,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland
3110,Southern California Dry-Mesic Chaparral,Sh Southern California Dry-Mesic Chaparral,Shrub,Shrubland,Chaparral,SRM 206: Chamise Chaparral,Shrub-dominated,Shrubland,Evergreen shrubland
3111,Western Great Plains Mesquite Woodland,Tr Western Great Plains Mesquite Woodland and Shrubland,Tree,Shrubland,Mesquite Woodland and Scrub,SRM 729: Mesquite,Shrub-dominated,Shrubland,Mixed evergreen-deciduous shrubland
3112,California Central Valley Mixed Oak Savanna,Tr California Central Valley Mixed Oak Savanna,Tree,Hardwood,Western Oak Woodland and Savanna,SRM 201: Blue Oak Woodland,Tree-dominated,Sparse tree canopy,Deciduous sparse tree canopy
3113,California Coastal Live Oak Woodland and Savanna,Tr California Coastal Live Oak Woodland and Savanna,Tree,Hardwood,Western Oak Woodland and Savanna,SAF 255: California Coast Live Oak,Tree-dominated,Sparse tree canopy,Mixed evergreen-deciduous sparse tree canopy
3114,California Lower Montane Foothill Pine Woodland and Savanna,Tr California Lower Montane Foothill Pine Woodland and Savanna,Tree,Conifer,Conifer-Oak Forest and Woodland,SAF 250: Blue Oak-Digger Pine,Tree-dominated,Sparse tree canopy,Evergreen sparse tree canopy
3115,Inter-Mountain Basins Juniper Savanna,Tr Inter-Mountain Basins Juniper Savanna,Tree,Conifer,Juniper Woodland and Savanna,SRM 412: Juniper-Pinyon Woodland,Tree-dominated,Sparse tree canopy,Evergreen sparse tree canopy
3116,Madrean Juniper Savanna,Tr Madrean Juniper Savanna,Tree,Conifer,Juniper Woodland and Savanna,SRM 735: Sideoats Grama-Sumac-Juniper,Tree-dominated,Sparse tree canopy,Evergreen sparse tree canopy
3117,Southern Rocky Mountain Ponderosa Pine Savanna,Tr Southern Rocky Mountain Ponderosa Pine Savanna,Tree,Conifer,"Ponderosa Pine Forest, Woodland and Savanna",SAF 237: Interior Ponderosa Pine,Tree-dominated,Sparse tree canopy,Evergreen sparse tree canopy
3118,Southern California Oak Woodland and Savanna,Tr Southern California Oak Woodland and Savanna,Tree,Hardwood,Western Oak Woodland and Savanna,SAF 255: California Coast Live Oak,Tree-dominated,Sparse tree canopy,Mixed evergreen-deciduous sparse tree canopy
3119,Southern Rocky Mountain Juniper Woodland and Savanna,Tr Southern Rocky Mountain Juniper Woodland and Savanna,Tree,Conifer,Juniper Woodland and Savanna,SRM 504: Juniper-Pinyon Pine Woodland,Tree-dominated,Sparse tree canopy,Evergreen sparse tree canopy
3120,Willamette Valley Upland Prairie and Savanna,Tr Willamette Valley Upland Prairie and Savanna,Tree,Hardwood,Western Oak Woodland and Savanna,SAF 233: Oregon White Oak,Tree-dominated,Sparse tree canopy,Mixed evergreen-deciduous sparse tree canopy
3121,Apacherian-Chihuahuan Semi-Desert Shrubland,Sh Apacherian-Chihuahuan Semi-Desert Grassland and Steppe,Shrub,Shrubland,Grassland and Steppe,SRM 505: Grama-Tobosa Shrub,Shrub-dominated,Herbaceous - shrub-steppe,Perennial graminoid steppe
3122,Chihuahuan Gypsophilous Grassland and Steppe,Sh Chihuahuan Gypsophilous Grassland and Steppe,Shrub,Shrubland,Grassland and Steppe,SRM 505: Grama-Tobosa Shrub,Shrub-dominated,Herbaceous - shrub-steppe,Perennial graminoid steppe
3123,Columbia Plateau Steppe and Grassland,He Columbia Plateau Steppe and Grassland,Herb,Shrubland,Grassland and Steppe,SRM 106: Bluegrass Scabland,Shrub-dominated,Herbaceous - shrub-steppe,Perennial graminoid steppe
3124,Columbia Plateau Low Sagebrush Steppe,Sh Columbia Plateau Low Sagebrush Steppe,Shrub,Shrubland,Low Sagebrush Shrubland and Steppe,SRM 406: Low Sagebrush,Shrub-dominated,Herbaceous - shrub-steppe,Perennial graminoid steppe
3125,Inter-Mountain Basins Big Sagebrush Steppe,Sh Inter-Mountain Basins Big Sagebrush Steppe,Shrub,Shrubland,Big Sagebrush Shrubland and Steppe,SRM 314: Big Sagebrush-Bluebunch Wheatgrass,Shrub-dominated,Herbaceous - shrub-steppe,Perennial graminoid steppe
3126,Inter-Mountain Basins Montane Sagebrush Steppe,Sh Inter-Mountain Basins Montane Sagebrush Steppe,Shrub,Shrubland,Big Sagebrush Shrubland and Steppe,SRM 402: Mountain Big Sagebrush,Shrub-dominated,Herbaceous - shrub-steppe,Perennial graminoid steppe
3127,Inter-Mountain Basins Semi-Desert Shrub-Steppe,Sh Inter-Mountain Basins Semi-Desert Shrub-Steppe,Shrub,Shrubland,Desert Scrub,SRM 403: Wyoming Big Sagebrush,Shrub-dominated,Herbaceous - shrub-steppe,Perennial graminoid steppe
3128,Northern California Coastal Scrub,Sh Northern California Coastal Scrub,Shrub,Shrubland,Pacific Coastal Scrub,SRM 204: Northern Coastal Shrub,Shrub-dominated,Herbaceous - shrub-steppe,Perennial graminoid steppe
