Rowid_,VALUE,COUNT,VALUE_1,CLASSNAME,EVT_FUEL,EVT_FUEL_N,EVT_LF,EVT_GP,EVT_PHYS,EVT_GP_N,SAF_SRM,EVT_ORDER,EVT_CLASS,EVT_SBCLS,R,G,B,RED,GREEN,BLUE
,3017,6455991,3017.000000000000000,Columbia Plateau Western Juniper Woodland and Savanna,2017.000000000000000,Tr Columbia Plateau Western Juniper Woodland and Savanna,Tree,620.000000000000000,Conifer,Juniper Woodland and Savanna,SRM 107: Western Juniper-Big Sagebrush-Bluebunch Wheatgrass,Tree-dominated,Open tree canopy,Evergreen open tree canopy,108.000000000000000,255.000000000000000,82.000000000000000,0.423529000000000,1.000000000000000,0.321569000000000
,3018,5869904,3018.000000000000000,East Cascades Mesic Montane Mixed-Conifer Forest and Woodland,2018.000000000000000,Tr East Cascades Mesic Montane Mixed-Conifer Forest and Woodland,Tree,643.000000000000000,Conifer,Douglas-fir-Grand Fir-White Fir Forest and Woodland,SAF 213: Grand Fir,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,96.000000000000000,255.000000000000000,71.000000000000000,0.376471000000000,1.000000000000000,0.278431000000000
,3019,56382292,3019.000000000000000,Great Basin Pinyon-Juniper Woodland,2019.000000000000000,Tr Great Basin Pinyon-Juniper Woodland,Tree,630.000000000000000,Conifer,Pinyon-Juniper Woodland,SRM 412: Juniper-Pinyon Woodland,Tree-dominated,Open tree canopy,Evergreen open tree canopy,78.000000000000000,255.000000000000000,59.000000000000000,0.305882000000000,1.000000000000000,0.231373000000000
,3020,548754,3020.000000000000000,Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland,2020.000000000000000,Tr Inter-Mountain Basins Subalpine Limber-Bristlecone Pine Woodland,Tree,621.000000000000000,Conifer,Limber Pine Woodland,SAF 209: Bristlecone Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,63.000000000000000,255.000000000000000,46.000000000000000,0.247059000000000,1.000000000000000,0.180392000000000
,3021,422481,3021.000000000000000,Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland,2021.000000000000000,Tr Klamath-Siskiyou Lower Montane Serpentine Mixed Conifer Woodland,Tree,645.000000000000000,Conifer,Western Red-cedar-Western Hemlock Forest,SAF 231: Port Orford-Cedar,Tree-dominated,Open tree canopy,Evergreen open tree canopy,42.000000000000000,255.000000000000000,31.000000000000000,0.164706000000000,1.000000000000000,0.121569000000000
,3022,842326,3022.000000000000000,Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland,2022.000000000000000,Tr Klamath-Siskiyou Upper Montane Serpentine Mixed Conifer Woodland,Tree,645.000000000000000,Conifer,Western Red-cedar-Western Hemlock Forest,SAF 248: Knobcone Pine,Tree-dominated,Open tree canopy,Evergreen open tree canopy,224.000000000000000,252.000000000000000,192.000000000000000,0.878431000000000,0.988235000000000,0.752941000000000
,3023,5755692,3023.000000000000000,Madrean Encinal,2023.000000000000000,Tr Madrean Encinal,Tree,696.000000000000000,Conifer-Hardwood,Juniper-Oak,SAF 241: Western Live Oak,Tree-dominated,Open tree canopy,Evergreen open tree canopy,0.000000000000000,237.000000000000000,0.000000000000000,0.000000000000000,0.929412000000000,0.000000000000000
,3024,3992122,3024.000000000000000,Madrean Lower Montane Pine-Oak Forest and Woodland,2024.000000000000000,Tr Madrean Lower Montane Pine-Oak Forest and Woodland,Tree,610.000000000000000,Conifer-Hardwood,Conifer-Oak Forest and Woodland,SAF 241: Western Live Oak,Tree-dominated,Open tree canopy,Evergreen open tree canopy,0.000000000000000,237.000000000000000,0.000000000000000,0.000000000000000,0.929412000000000,0.000000000000000
,3025,19978826,3025.000000000000000,Madrean Pinyon-Juniper Woodland,2025.000000000000000,Tr Madrean Pinyon-Juniper Woodland,Tree,630.000000000000000,Conifer,Pinyon-Juniper Woodland,SRM 504: Juniper-Pinyon Pine Woodland,Tree-dominated,Open tree canopy,Evergreen open tree canopy,121.000000000000000,255.000000000000000,94.000000000000000,0.474510000000000,1.000000000000000,0.368627000000000
,3026,40496,3026.000000000000000,Madrean Upper Montane Conifer-Oak Forest and Woodland,2026.000000000000000,Tr Madrean Upper Montane Conifer-Oak Forest and Woodland,Tree,610.000000000000000,Conifer-Hardwood,Conifer-Oak Forest and Woodland,SAF 241: Western Live Oak,Tree-dominated,Open tree canopy,Evergreen open tree canopy,0.000000000000000,237.000000000000000,0.000000000000000,0.000000000000000,0.929412000000000,0.000000000000000
,3027,21622133,3027.000000000000000,Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,2027.000000000000000,Tr Mediterranean California Dry-Mesic Mixed Conifer Forest and Woodland,Tree,625.000000000000000,Conifer,Douglas-fir-Ponderosa Pine-Lodgepole Pine Forest and Woodland,SAF 243: Sierra Nevada Mixed Conifer,Tree-dominated,Open tree canopy,Evergreen open tree canopy,0.000000000000000,222.000000000000000,0.000000000000000,0.000000000000000,0.870588000000000,0.000000000000000
,3028,31537155,3028.000000000000000,Mediterranean California Mesic Mixed Conifer Forest and Woodland,2028.000000000000000,Tr Mediterranean California Mesic Mixed Conifer Forest and Woodland,Tree,643.000000000000000,Conifer,Douglas-fir-Grand Fir-White Fir Forest and Woodland,SAF 211: White Fir,Tree-dominated,Closed tree canopy,Evergreen closed tree canopy,0.000000000000000,204.000000000000000,0.000000000000000,0.000000000000000,0.800000000000000,0.000000000000000
,3029,6966678,3029.000000000000000,Mediterranean California Mixed Oak Woodland,2029.000000000000000,Tr Mediterranean California Mixed Oak Woodland,Tree,629.000000000000000,Hardwood,Western Oak Woodland and Savanna,SAF 246: California Black Oak,Tree-dominated,Open tree canopy,Evergreen open tree canopy,0.000000000000000,189.000000000000000,0.000000000000000,0.000000000000000,0.741176000000000,0.000000000000000
